Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,ticker
2025-06-26 00:00:00-04:00,25.400999069213867,25.48200035095215,25.399999618530273,25.48200035095215,1700,0.0,0.0,0.0,AKAF
2025-06-27 00:00:00-04:00,25.559999465942383,25.61199951171875,25.559999465942383,25.61199951171875,200,0.0,0.0,0.0,AKAF
2025-06-30 00:00:00-04:00,25.690000534057617,25.76300048828125,25.690000534057617,25.76300048828125,300,0.0,0.0,0.0,AKAF
2025-07-01 00:00:00-04:00,26.010000228881836,26.100000381469727,26.010000228881836,26.0310001373291,500,0.0,0.0,0.0,AKAF
2025-07-02 00:00:00-04:00,26.079999923706055,26.514999389648438,26.079999923706055,26.233999252319336,2100,0.0,0.0,0.0,AKAF
2025-07-03 00:00:00-04:00,26.344999313354492,26.454999923706055,26.344999313354492,26.427000045776367,1500,0.0,0.0,0.0,AKAF
2025-07-07 00:00:00-04:00,26.360000610351562,26.360000610351562,26.049999237060547,26.19099998474121,2500,0.0,0.0,0.0,AKAF
2025-07-08 00:00:00-04:00,26.295000076293945,26.674999237060547,26.240999221801758,26.240999221801758,1700,0.0,0.0,0.0,AKAF
2025-07-09 00:00:00-04:00,26.309999465942383,26.389999389648438,26.30299949645996,26.30299949645996,400,0.0,0.0,0.0,AKAF
2025-07-10 00:00:00-04:00,26.43000030517578,27.270000457763672,26.43000030517578,26.573999404907227,600,0.0,0.0,0.0,AKAF
2025-07-11 00:00:00-04:00,26.518999099731445,26.518999099731445,26.51099967956543,26.51099967956543,200,0.0,0.0,0.0,AKAF
2025-07-14 00:00:00-04:00,26.510000228881836,26.530000686645508,26.479999542236328,26.520000457763672,3800,0.0,0.0,0.0,AKAF
2025-07-15 00:00:00-04:00,26.329999923706055,26.329999923706055,26.135000228881836,26.135000228881836,2400,0.0,0.0,0.0,AKAF
2025-07-16 00:00:00-04:00,26.1200008392334,26.13599967956543,26.06999969482422,26.13599967956543,2300,0.0,0.0,0.0,AKAF
2025-07-17 00:00:00-04:00,26.219999313354492,26.329999923706055,26.1299991607666,26.288000106811523,3400,0.0,0.0,0.0,AKAF
2025-07-18 00:00:00-04:00,26.25,26.25,26.139999389648438,26.150999069213867,3300,0.0,0.0,0.0,AKAF
2025-07-21 00:00:00-04:00,26.3700008392334,26.389999389648438,26.226999282836914,26.226999282836914,2900,0.0,0.0,0.0,AKAF
2025-07-22 00:00:00-04:00,26.270000457763672,26.510000228881836,26.270000457763672,26.493999481201172,5400,0.0,0.0,0.0,AKAF
2025-07-23 00:00:00-04:00,26.739999771118164,26.940000534057617,26.739999771118164,26.792999267578125,2500,0.0,0.0,0.0,AKAF
